year,month,decimal,average,stddev
1979,1,1979.042,336.56,0.1
1979,2,1979.125,337.29,0.09
1979,3,1979.208,337.88,0.1
1979,4,1979.292,338.32,0.11
1979,5,1979.375,338.26,0.04
1979,6,1979.458,337.38,0.17
1979,7,1979.542,335.56,0.27
1979,8,1979.625,334.37,0.29
1979,9,1979.708,335.02,0.2
1979,10,1979.792,336.36,0.22
1979,11,1979.875,337.36,0.17
1979,12,1979.958,337.85,0.12
1980,1,1980.042,338.55,0.12
1980,2,1980.125,339.27,0.08
1980,3,1980.208,339.6,0.07
1980,4,1980.292,339.99,0.07
1980,5,1980.375,340.44,0.09
1980,6,1980.458,339.99,0.09
1980,7,1980.542,338.44,0.17
1980,8,1980.625,337.21,0.19
1980,9,1980.708,337.05,0.11
1980,10,1980.792,337.83,0.07
1980,11,1980.875,338.93,0.06
1980,12,1980.958,339.64,0.08
1981,1,1981.042,340.18,0.1
1981,2,1981.125,340.75,0.11
1981,3,1981.208,341.38,0.11
1981,4,1981.292,341.68,0.08
1981,5,1981.375,341.43,0.07
1981,6,1981.458,340.63,0.1
1981,7,1981.542,339.23,0.14
1981,8,1981.625,338.08,0.16
1981,9,1981.708,337.97,0.11
1981,10,1981.792,339.07,0.09
1981,11,1981.875,340.18,0.11
1981,12,1981.958,340.75,0.09
1982,1,1982.042,341.37,0.08
1982,2,1982.125,341.95,0.08
1982,3,1982.208,342.23,0.07
1982,4,1982.292,342.52,0.07
1982,5,1982.375,342.36,0.06
1982,6,1982.458,341.49,0.03
1982,7,1982.542,339.75,0.08
1982,8,1982.625,338.11,0.1
1982,9,1982.708,338.16,0.07
1982,10,1982.792,339.62,0.05
1982,11,1982.875,340.95,0.06
1982,12,1982.958,341.77,0.06
1983,1,1983.042,342.37,0.05
1983,2,1983.125,342.74,0.07
1983,3,1983.208,343.04,0.07
1983,4,1983.292,343.51,0.05
1983,5,1983.375,343.84,0.09
1983,6,1983.458,343.5,0.08
1983,7,1983.542,342.14,0.14
1983,8,1983.625,340.62,0.15
1983,9,1983.708,340.53,0.07
1983,10,1983.792,341.75,0.11
1983,11,1983.875,342.83,0.12
1983,12,1983.958,343.49,0.11
1984,1,1984.042,344.32,0.06
1984,2,1984.125,344.82,0.05
1984,3,1984.208,344.96,0.07
1984,4,1984.292,345.19,0.12
1984,5,1984.375,345.33,0.1
1984,6,1984.458,344.57,0.05
1984,7,1984.542,343.2,0.1
1984,8,1984.625,342.21,0.15
1984,9,1984.708,342.13,0.13
1984,10,1984.792,342.99,0.12
1984,11,1984.875,344.16,0.13
1984,12,1984.958,345,0.11
1985,1,1985.042,345.36,0.1
1985,2,1985.125,345.8,0.1
1985,3,1985.208,346.64,0.12
1985,4,1985.292,346.94,0.12
